17.617s,9.267s,39.476s,6.361s,39.460s
1.193s,3.400s,24.487s,29.081s,24.467s
1.186s,3.577s,24.311s,29.075s,24.293s
1.201s,3.679s,24.195s,29.075s,24.177s
1.205s,3.419s,24.450s,29.075s,24.432s
1.176s,3.600s,24.298s,29.075s,24.280s
1.199s,3.442s,24.433s,29.075s,24.415s
1.214s,3.733s,25.126s,30.075s,25.109s
1.192s,3.497s,24.376s,29.067s,24.359s
1.185s,3.453s,24.441s,29.079s,24.423s
1.204s,3.344s,24.526s,29.074s,24.508s
1.197s,3.436s,24.438s,29.071s,24.420s
1.182s,3.365s,24.535s,29.083s,24.517s
1.195s,3.782s,24.090s,29.068s,24.079s
1.182s,3.413s,24.473s,29.069s,24.461s
1.189s,3.416s,24.462s,29.068s,24.451s
1.192s,3.508s,24.367s,29.068s,24.356s
1.228s,3.554s,24.284s,29.067s,24.274s
1.175s,3.594s,24.299s,29.068s,24.287s
1.182s,3.606s,24.282s,29.071s,24.267s
1.195s,3.646s,24.222s,29.064s,24.211s
1.180s,3.502s,24.391s,29.073s,24.379s
1.207s,3.789s,25.066s,30.064s,25.055s
1.176s,3.464s,24.442s,29.083s,24.424s
1.205s,3.476s,24.377s,29.060s,24.366s
1.192s,3.411s,24.471s,29.075s,24.453s
1.180s,3.578s,24.305s,29.064s,24.294s
1.190s,3.652s,24.221s,29.064s,24.206s
1.184s,3.528s,24.369s,29.082s,24.352s
1.195s,3.433s,24.446s,29.075s,24.428s
1.182s,3.506s,49.378s,54.067s,49.360s
1.181s,3.639s,24.254s,29.075s,24.236s
1.218s,3.507s,24.340s,29.066s,24.322s
1.219s,3.747s,24.100s,29.067s,24.083s
1.200s,3.646s,24.226s,29.073s,24.214s
1.180s,3.596s,24.288s,29.066s,24.275s
1.193s,3.638s,24.236s,29.068s,24.224s
1.199s,3.688s,24.187s,29.075s,24.169s
1.186s,3.553s,24.344s,29.083s,24.326s
1.172s,3.343s,24.545s,29.060s,24.533s
1.193s,3.808s,24.072s,29.074s,24.055s
1.235s,3.831s,25.001s,30.067s,24.990s
1.197s,3.629s,24.245s,29.072s,24.233s
1.182s,3.517s,24.368s,29.068s,24.356s
1.203s,3.687s,24.189s,29.080s,24.158s
1.172s,3.358s,24.550s,29.081s,24.530s
1.185s,3.564s,24.313s,29.063s,24.295s
1.182s,3.553s,24.347s,29.083s,24.328s
1.179s,3.730s,24.168s,29.078s,24.151s
1.187s,3.619s,24.263s,29.070s,24.246s
1.196s,3.462s,24.420s,29.079s,24.403s
1.191s,3.668s,24.216s,29.076s,24.198s
1.166s,3.714s,25.219s,30.100s,25.200s
1.237s,3.705s,24.140s,29.082s,24.123s
1.196s,3.620s,24.249s,29.065s,24.236s
