4.271s,4.738s,30.082s,39.093s,30.066s
1.199s,3.847s,24.021s,29.068s,24.009s
1.190s,3.864s,24.019s,29.075s,24.002s
1.188s,3.597s,24.287s,29.073s,24.275s
1.199s,3.814s,24.062s,29.076s,24.047s
1.192s,3.748s,24.127s,29.068s,24.116s
1.175s,3.458s,24.426s,29.060s,24.415s
1.179s,3.373s,24.523s,29.076s,24.511s
1.186s,3.738s,24.146s,29.070s,24.128s
1.195s,3.760s,24.123s,29.078s,24.105s
1.192s,3.529s,24.364s,29.087s,24.347s
1.209s,3.836s,24.029s,29.075s,24.011s
1.180s,3.704s,24.194s,29.079s,24.177s
1.201s,3.885s,24.986s,30.074s,24.969s
1.187s,3.406s,24.489s,29.083s,24.472s
1.173s,3.597s,24.296s,29.067s,24.278s
1.188s,3.439s,24.453s,29.081s,24.434s
1.175s,3.397s,24.507s,29.081s,24.488s
1.173s,3.447s,24.451s,29.072s,24.439s
1.206s,3.894s,23.959s,29.061s,23.947s
1.197s,3.906s,23.955s,29.060s,23.944s
1.175s,3.818s,24.090s,29.084s,24.079s
1.182s,3.758s,25.134s,30.074s,25.117s
1.182s,3.713s,24.182s,29.079s,24.165s
1.188s,3.533s,24.350s,29.072s,24.338s
1.233s,3.751s,24.093s,29.077s,24.081s
1.188s,3.684s,24.198s,29.072s,24.187s
1.167s,3.390s,24.516s,29.074s,24.499s
1.202s,3.684s,24.196s,29.083s,24.179s
1.185s,3.475s,24.422s,29.082s,24.405s
1.174s,3.729s,24.175s,29.079s,24.157s
1.172s,3.629s,24.269s,29.071s,24.251s
1.218s,3.760s,24.096s,29.075s,24.079s
1.171s,3.742s,24.155s,29.069s,24.140s
1.200s,3.852s,24.020s,29.073s,24.008s
1.191s,3.321s,24.555s,29.068s,24.544s
1.185s,3.716s,24.175s,29.076s,24.156s
1.195s,3.858s,24.010s,29.065s,23.998s
1.201s,3.988s,24.874s,30.064s,24.863s
1.208s,3.402s,24.456s,29.067s,24.446s
1.169s,3.823s,24.078s,29.071s,24.067s
1.210s,4.037s,24.807s,30.056s,24.796s
1.185s,3.669s,24.205s,29.061s,24.193s
1.171s,3.469s,24.445s,29.086s,24.431s
1.172s,3.598s,24.308s,29.079s,24.290s
1.173s,3.752s,24.149s,29.075s,24.132s
1.183s,3.520s,24.365s,29.070s,24.352s
1.188s,3.760s,24.124s,29.072s,24.112s
1.195s,3.876s,24.004s,29.075s,23.993s
1.200s,3.782s,24.081s,29.064s,24.069s
1.199s,3.468s,24.399s,29.067s,24.388s
1.184s,3.327s,24.558s,29.069s,24.546s
1.216s,3.702s,24.157s,29.076s,24.139s
1.190s,3.426s,24.462s,29.079s,24.444s
1.196s,3.934s,24.952s,30.083s,24.935s
