4.089s,3.878s,34.098s,42.066s,34.082s
1.135s,3.536s,27.391s,32.063s,27.380s
1.148s,3.460s,27.453s,32.062s,27.443s
1.171s,3.447s,27.444s,32.063s,27.434s
1.146s,3.502s,27.425s,32.074s,27.408s
1.160s,3.422s,27.486s,32.069s,27.470s
1.174s,3.502s,27.377s,32.055s,27.367s
1.164s,3.514s,27.385s,32.064s,27.374s
1.136s,3.320s,27.607s,32.063s,27.596s
1.155s,3.336s,27.574s,32.067s,27.564s
1.149s,3.400s,27.516s,32.066s,27.499s
1.195s,3.378s,27.492s,32.066s,27.483s
1.154s,3.392s,27.519s,32.067s,27.509s
1.160s,3.411s,27.490s,32.063s,27.480s
1.157s,3.677s,27.224s,32.059s,27.214s
1.159s,3.573s,27.325s,32.058s,27.316s
1.145s,3.564s,27.364s,32.074s,27.347s
1.177s,3.656s,27.228s,32.062s,27.218s
1.225s,3.593s,27.244s,32.063s,27.233s
1.149s,3.353s,27.552s,32.054s,27.542s
1.155s,3.343s,27.563s,32.063s,27.553s
1.156s,3.612s,27.289s,32.059s,27.279s
1.176s,3.574s,27.307s,32.058s,27.297s
1.172s,3.527s,27.366s,32.067s,27.356s
1.179s,3.770s,27.112s,32.062s,27.102s
1.252s,3.643s,27.163s,32.058s,27.153s
1.155s,3.353s,27.553s,32.062s,27.543s
1.146s,3.340s,27.580s,32.067s,27.570s
1.160s,3.549s,27.349s,32.059s,27.339s
1.150s,3.299s,27.613s,32.064s,27.603s
1.142s,3.571s,27.345s,32.058s,27.335s
1.134s,3.515s,27.412s,32.062s,27.403s
1.128s,3.400s,27.533s,32.062s,27.524s
1.159s,3.425s,27.485s,32.070s,27.469s
1.168s,3.550s,27.344s,32.063s,27.333s
1.162s,3.574s,27.338s,32.074s,27.321s
1.185s,3.339s,27.545s,32.069s,27.533s
1.146s,3.671s,27.243s,32.061s,27.231s
1.156s,3.361s,27.552s,32.070s,27.535s
1.146s,3.391s,27.533s,32.071s,27.515s
1.163s,3.475s,27.419s,32.058s,27.409s
1.229s,3.590s,27.242s,32.062s,27.233s
1.139s,3.398s,27.541s,32.079s,27.523s
1.147s,3.479s,27.446s,32.073s,27.430s
1.185s,3.576s,27.308s,32.070s,27.291s
1.188s,3.584s,27.282s,32.055s,27.271s
1.186s,3.426s,27.457s,32.071s,27.447s
1.174s,3.328s,27.562s,32.065s,27.549s
1.174s,3.425s,27.466s,32.066s,27.456s
1.144s,3.389s,27.524s,32.058s,27.514s
1.206s,3.614s,27.241s,32.062s,27.231s
1.160s,3.402s,27.500s,32.063s,27.489s
1.178s,3.338s,27.542s,32.058s,27.532s
1.160s,3.642s,27.259s,32.062s,27.249s
1.147s,3.351s,27.563s,32.062s,27.554s
