1.202s,3.568s,29.295s,34.066s,29.278s
1.205s,3.546s,25.311s,30.063s,25.301s
1.166s,3.423s,25.473s,30.063s,25.463s
1.140s,3.329s,25.595s,30.065s,25.586s
1.142s,3.344s,25.566s,30.054s,25.557s
1.142s,3.308s,25.609s,30.060s,25.598s
1.143s,3.397s,25.513s,30.055s,25.503s
1.162s,3.506s,25.394s,30.063s,25.384s
1.138s,3.248s,25.675s,30.063s,25.665s
1.146s,3.466s,25.483s,30.096s,25.452s
1.137s,3.409s,25.516s,30.063s,25.506s
1.140s,3.464s,25.457s,30.062s,25.440s
1.154s,3.434s,25.475s,30.063s,25.464s
1.145s,3.390s,25.531s,30.067s,25.521s
1.147s,3.328s,25.597s,30.073s,25.585s
1.149s,3.367s,25.539s,30.056s,25.528s
1.144s,3.635s,25.282s,30.062s,25.272s
1.151s,3.752s,25.159s,30.063s,25.148s
1.146s,3.469s,25.446s,30.062s,25.436s
1.144s,3.532s,25.385s,30.062s,25.375s
1.152s,3.532s,25.378s,30.063s,25.368s
1.157s,3.402s,25.511s,30.071s,25.501s
1.156s,3.356s,25.571s,30.084s,25.540s
1.162s,3.522s,25.378s,30.063s,25.367s
1.191s,3.629s,25.243s,30.063s,25.232s
1.147s,3.341s,25.574s,30.062s,25.564s
1.151s,3.728s,25.184s,30.064s,25.172s
1.135s,3.556s,25.371s,30.062s,25.361s
1.149s,3.607s,25.309s,30.066s,25.299s
1.140s,3.510s,25.420s,30.070s,25.410s
1.142s,3.644s,25.281s,30.068s,25.269s
1.159s,3.402s,25.530s,30.092s,25.520s
1.145s,3.547s,25.370s,30.062s,25.360s
1.171s,3.554s,25.339s,30.065s,25.327s
1.153s,3.463s,25.442s,30.059s,25.431s
1.142s,3.466s,25.453s,30.062s,25.444s
1.148s,3.358s,25.554s,30.062s,25.545s
1.132s,3.506s,25.428s,30.067s,25.417s
1.145s,3.328s,25.596s,30.070s,25.586s
1.121s,3.471s,25.465s,30.058s,25.456s
1.132s,3.329s,25.608s,30.070s,25.598s
1.176s,3.341s,25.555s,30.072s,25.544s
1.180s,3.572s,25.321s,30.074s,25.300s
1.144s,3.370s,25.570s,30.086s,25.554s
1.176s,3.457s,25.440s,30.074s,25.430s
1.168s,3.577s,25.326s,30.072s,25.315s
1.136s,3.331s,25.594s,30.062s,25.585s
1.159s,3.585s,25.321s,30.066s,25.311s
1.145s,3.623s,25.293s,30.062s,25.284s
1.141s,3.348s,25.577s,30.067s,25.566s
1.139s,3.536s,25.383s,30.059s,25.373s
1.148s,3.513s,25.405s,30.067s,25.395s
1.126s,3.525s,25.410s,30.063s,25.400s
1.139s,3.501s,25.421s,30.062s,25.411s
1.128s,3.265s,25.689s,30.082s,25.672s
