5.887s,3.626s,32.553s,42.068s,32.530s
1.159s,3.395s,27.504s,32.059s,27.493s
1.143s,3.409s,27.507s,32.060s,27.495s
1.147s,3.359s,27.553s,32.061s,27.541s
1.147s,3.415s,27.511s,32.075s,27.494s
1.187s,3.595s,27.286s,32.069s,27.270s
1.147s,3.360s,27.555s,32.063s,27.545s
1.142s,3.442s,27.487s,32.072s,27.476s
1.147s,3.515s,27.404s,32.067s,27.393s
1.168s,3.388s,27.507s,32.063s,27.496s
1.189s,3.606s,27.264s,32.060s,27.253s
1.145s,3.381s,27.543s,32.069s,27.526s
1.157s,3.364s,27.541s,32.063s,27.531s
1.191s,3.648s,27.233s,32.073s,27.224s
1.129s,3.628s,27.308s,32.066s,27.298s
1.183s,3.435s,27.444s,32.063s,27.434s
1.150s,3.520s,27.400s,32.071s,27.390s
1.142s,3.318s,27.601s,32.063s,27.591s
1.142s,3.242s,27.681s,32.066s,27.664s
1.129s,3.427s,27.512s,32.070s,27.495s
1.150s,3.531s,27.380s,32.062s,27.370s
1.181s,3.477s,27.404s,32.063s,27.394s
1.195s,3.457s,27.438s,32.092s,27.416s
1.145s,3.554s,27.367s,32.067s,27.357s
1.149s,3.385s,27.525s,32.061s,27.514s
1.151s,3.289s,27.625s,32.066s,27.615s
1.147s,3.523s,27.397s,32.068s,27.385s
1.164s,3.378s,27.520s,32.063s,27.509s
1.129s,3.481s,27.458s,32.068s,27.446s
1.147s,3.502s,27.437s,32.086s,27.427s
1.158s,3.674s,27.234s,32.068s,27.223s
1.155s,3.487s,27.429s,32.072s,27.417s
1.141s,3.444s,27.474s,32.059s,27.463s
1.163s,3.559s,27.336s,32.059s,27.325s
1.189s,3.585s,27.283s,32.058s,27.273s
1.128s,3.453s,27.477s,32.059s,27.466s
1.200s,3.324s,27.539s,32.064s,27.528s
1.143s,3.565s,27.358s,32.068s,27.340s
1.148s,3.477s,27.444s,32.070s,27.427s
1.165s,3.633s,27.274s,32.074s,27.257s
1.156s,3.831s,27.079s,32.067s,27.068s
1.175s,3.623s,27.283s,32.083s,27.273s
1.177s,3.671s,27.218s,32.067s,27.208s
1.158s,3.555s,27.352s,32.066s,27.343s
1.176s,3.577s,27.303s,32.057s,27.294s
1.147s,3.466s,27.445s,32.059s,27.435s
1.153s,3.467s,27.445s,32.066s,27.436s
1.155s,3.602s,27.301s,32.059s,27.291s
1.161s,3.405s,27.495s,32.062s,27.486s
1.193s,3.357s,27.519s,32.070s,27.510s
1.188s,3.454s,27.416s,32.059s,27.406s
1.164s,3.481s,27.413s,32.060s,27.402s
1.152s,3.317s,27.593s,32.063s,27.583s
1.159s,3.494s,27.415s,32.070s,27.406s
1.153s,3.395s,27.505s,32.054s,27.495s
