1.177s,3.638s,29.243s,34.059s,29.233s
1.141s,3.567s,25.359s,30.068s,25.348s
1.149s,3.399s,24.517s,29.067s,24.507s
1.190s,3.410s,24.476s,29.077s,24.464s
1.141s,3.434s,24.487s,29.063s,24.477s
1.218s,3.392s,25.456s,30.068s,25.446s
1.145s,3.266s,24.650s,29.062s,24.641s
1.184s,3.593s,25.290s,30.067s,25.279s
1.155s,3.455s,25.453s,30.064s,25.441s
1.142s,3.369s,24.555s,29.067s,24.544s
1.138s,3.517s,24.417s,29.073s,24.401s
1.136s,3.581s,24.344s,29.062s,24.335s
1.169s,3.393s,24.515s,29.078s,24.498s
1.164s,3.330s,24.575s,29.070s,24.565s
1.168s,3.591s,25.302s,30.062s,25.293s
1.135s,3.451s,24.464s,29.050s,24.454s
1.169s,3.524s,25.372s,30.067s,25.362s
1.151s,3.341s,24.566s,29.059s,24.556s
1.139s,3.583s,25.340s,30.063s,25.329s
1.173s,3.354s,25.541s,30.068s,25.529s
1.143s,3.361s,24.561s,29.066s,24.551s
1.162s,3.660s,25.242s,30.065s,25.233s
1.163s,3.805s,25.110s,30.079s,25.093s
1.143s,3.419s,24.505s,29.068s,24.494s
1.145s,3.358s,24.562s,29.067s,24.552s
1.142s,3.672s,25.244s,30.060s,25.233s
1.147s,3.525s,25.390s,30.063s,25.379s
1.195s,3.271s,24.596s,29.063s,24.586s
1.153s,3.342s,24.567s,29.064s,24.556s
1.145s,3.475s,25.443s,30.064s,25.431s
1.162s,3.444s,25.456s,30.064s,25.445s
1.151s,3.591s,25.337s,30.080s,25.325s
1.148s,3.563s,25.355s,30.066s,25.345s
1.148s,3.620s,25.320s,30.088s,25.308s
1.164s,3.400s,24.511s,29.077s,24.499s
1.137s,3.489s,25.440s,30.067s,25.430s
1.146s,3.486s,24.430s,29.063s,24.420s
1.138s,3.279s,24.636s,29.054s,24.626s
1.175s,3.565s,24.318s,29.060s,24.307s
1.157s,3.668s,25.237s,30.062s,25.227s
1.147s,3.621s,25.295s,30.064s,25.284s
1.132s,3.474s,24.456s,29.064s,24.445s
1.145s,3.370s,25.542s,30.058s,25.533s
1.130s,3.362s,24.570s,29.063s,24.560s
1.166s,3.348s,24.548s,29.063s,24.538s
1.197s,3.512s,25.360s,30.070s,25.351s
1.137s,3.503s,25.428s,30.069s,25.412s
1.140s,3.454s,24.483s,29.077s,24.466s
1.179s,3.584s,25.309s,30.074s,25.292s
1.155s,3.620s,25.293s,30.070s,25.277s
1.182s,3.482s,25.397s,30.062s,25.388s
1.135s,3.420s,24.498s,29.055s,24.488s
1.149s,3.634s,25.284s,30.068s,25.273s
1.136s,3.504s,25.438s,30.078s,25.421s
1.134s,3.436s,24.479s,29.050s,24.469s
